timestamp_ms,x,y,event_type,button,dx,dy
694893395,1442,1205,move,,0,0
694893403,1439,1201,move,,0,0
694893411,1430,1197,move,,0,0
694893419,1422,1194,move,,0,0
694893427,1413,1191,move,,0,0
694893435,1408,1190,move,,0,0
694893443,1405,1189,move,,0,0
694893451,1403,1189,move,,0,0
694893459,1402,1189,move,,0,0
694893467,1401,1189,move,,0,0
694893475,1401,1189,move,,0,0
694893499,1400,1189,move,,0,0
694893947,1400,1189,move,,0,0
694894027,1400,1189,move,,0,0
694894035,1399,1189,move,,0,0
694894043,1398,1189,move,,0,0
694894051,1397,1189,move,,0,0
694894059,1396,1189,move,,0,0
694894067,1395,1189,move,,0,0
694894075,1394,1189,move,,0,0
694894083,1392,1189,move,,0,0
694894091,1390,1189,move,,0,0
694894099,1388,1189,move,,0,0
694894107,1385,1190,move,,0,0
694894115,1382,1190,move,,0,0
694894123,1377,1190,move,,0,0
694894131,1371,1190,move,,0,0
694894139,1363,1190,move,,0,0
694894147,1355,1190,move,,0,0
694894155,1346,1191,move,,0,0
694894163,1338,1191,move,,0,0
694894171,1330,1191,move,,0,0
694894179,1320,1191,move,,0,0
694894187,1312,1191,move,,0,0
694894195,1304,1191,move,,0,0
694894203,1296,1191,move,,0,0
694894211,1287,1191,move,,0,0
694894219,1281,1191,move,,0,0
694894227,1275,1191,move,,0,0
694894235,1269,1191,move,,0,0
694894243,1261,1191,move,,0,0
694894251,1253,1191,move,,0,0
694894259,1246,1191,move,,0,0
694894267,1238,1192,move,,0,0
694894275,1232,1192,move,,0,0
694894283,1226,1192,move,,0,0
694894291,1219,1192,move,,0,0
694894299,1215,1192,move,,0,0
694894307,1210,1192,move,,0,0
694894315,1207,1192,move,,0,0
694894323,1204,1192,move,,0,0
694894331,1201,1192,move,,0,0
694894339,1199,1192,move,,0,0
694894347,1198,1192,move,,0,0
694894355,1197,1193,move,,0,0
694894363,1196,1193,move,,0,0
694894371,1196,1193,move,,0,0
694894379,1195,1193,move,,0,0
694894387,1194,1193,move,,0,0
694894395,1193,1193,move,,0,0
694894403,1192,1193,move,,0,0
694894411,1191,1193,move,,0,0
694894419,1190,1193,move,,0,0
694894427,1190,1193,move,,0,0
694894435,1189,1193,move,,0,0
694894443,1187,1193,move,,0,0
694894451,1186,1193,move,,0,0
694894459,1184,1193,move,,0,0
694894467,1182,1193,move,,0,0
694894475,1179,1193,move,,0,0
694894483,1176,1193,move,,0,0
694894491,1173,1193,move,,0,0
694894499,1169,1193,move,,0,0
694894507,1165,1193,move,,0,0
694894515,1161,1193,move,,0,0
694894523,1156,1193,move,,0,0
694894531,1152,1193,move,,0,0
694894539,1146,1193,move,,0,0
694894547,1139,1193,move,,0,0
694894555,1133,1193,move,,0,0
694894563,1125,1193,move,,0,0
694894571,1116,1192,move,,0,0
694894579,1108,1190,move,,0,0
694894587,1102,1190,move,,0,0
694894595,1095,1189,move,,0,0
694894603,1087,1189,move,,0,0
694894611,1081,1188,move,,0,0
694894619,1074,1186,move,,0,0
694894627,1070,1186,move,,0,0
694894635,1063,1185,move,,0,0
694894643,1059,1184,move,,0,0
694894651,1054,1184,move,,0,0
694894659,1050,1183,move,,0,0
694894667,1046,1183,move,,0,0
694894675,1043,1182,move,,0,0
694894683,1040,1181,move,,0,0
694894691,1038,1181,move,,0,0
694894699,1036,1179,move,,0,0
694894707,1035,1179,move,,0,0
694894715,1034,1179,move,,0,0
694894723,1033,1179,move,,0,0
694894995,1033,1179,move,,0,0
694895003,1035,1179,move,,0,0
694895011,1037,1179,move,,0,0
694895019,1040,1179,move,,0,0
694895027,1043,1179,move,,0,0
694895035,1048,1179,move,,0,0
694895043,1054,1179,move,,0,0
694895051,1060,1179,move,,0,0
694895059,1068,1179,move,,0,0
694895067,1076,1179,move,,0,0
